tf_id,name.y,value.y,url,stub,plant_date,area,trees,lat,lon,date
85,1,/tiny-forest-sites/8-tiny-forest/85-tychwood-witney,https://tinyforest.earthwatch.org.uk//tiny-forest-sites/8-tiny-forest/85-tychwood-witney,85-tychwood-witney,14 March 2020,207,"Apple, crab(Malus sylvestris) ",51.777889,-1.469139,2020-03-14
85,1,/tiny-forest-sites/8-tiny-forest/85-tychwood-witney,https://tinyforest.earthwatch.org.uk//tiny-forest-sites/8-tiny-forest/85-tychwood-witney,85-tychwood-witney,14 March 2020,207," Birch, downy(Betula pubescens) ",51.777889,-1.469139,2020-03-14
85,1,/tiny-forest-sites/8-tiny-forest/85-tychwood-witney,https://tinyforest.earthwatch.org.uk//tiny-forest-sites/8-tiny-forest/85-tychwood-witney,85-tychwood-witney,14 March 2020,207," Birch, silver(Betula pendula) ",51.777889,-1.469139,2020-03-14
85,1,/tiny-forest-sites/8-tiny-forest/85-tychwood-witney,https://tinyforest.earthwatch.org.uk//tiny-forest-sites/8-tiny-forest/85-tychwood-witney,85-tychwood-witney,14 March 2020,207, Blackthorn(Prunus spinosa) ,51.777889,-1.469139,2020-03-14
85,1,/tiny-forest-sites/8-tiny-forest/85-tychwood-witney,https://tinyforest.earthwatch.org.uk//tiny-forest-sites/8-tiny-forest/85-tychwood-witney,85-tychwood-witney,14 March 2020,207, Dogwood(Cornus sanguinea) ,51.777889,-1.469139,2020-03-14
85,1,/tiny-forest-sites/8-tiny-forest/85-tychwood-witney,https://tinyforest.earthwatch.org.uk//tiny-forest-sites/8-tiny-forest/85-tychwood-witney,85-tychwood-witney,14 March 2020,207, Elder(Sambucus nigra) ,51.777889,-1.469139,2020-03-14
85,1,/tiny-forest-sites/8-tiny-forest/85-tychwood-witney,https://tinyforest.earthwatch.org.uk//tiny-forest-sites/8-tiny-forest/85-tychwood-witney,85-tychwood-witney,14 March 2020,207," Guelder, rose(Viburnum opulus) ",51.777889,-1.469139,2020-03-14
85,1,/tiny-forest-sites/8-tiny-forest/85-tychwood-witney,https://tinyforest.earthwatch.org.uk//tiny-forest-sites/8-tiny-forest/85-tychwood-witney,85-tychwood-witney,14 March 2020,207, Hazel(Corylus avellana) ,51.777889,-1.469139,2020-03-14
85,1,/tiny-forest-sites/8-tiny-forest/85-tychwood-witney,https://tinyforest.earthwatch.org.uk//tiny-forest-sites/8-tiny-forest/85-tychwood-witney,85-tychwood-witney,14 March 2020,207," Maple, field(Acer campestre) ",51.777889,-1.469139,2020-03-14
85,1,/tiny-forest-sites/8-tiny-forest/85-tychwood-witney,https://tinyforest.earthwatch.org.uk//tiny-forest-sites/8-tiny-forest/85-tychwood-witney,85-tychwood-witney,14 March 2020,207," Oak, english(Quercus robur) ",51.777889,-1.469139,2020-03-14
85,1,/tiny-forest-sites/8-tiny-forest/85-tychwood-witney,https://tinyforest.earthwatch.org.uk//tiny-forest-sites/8-tiny-forest/85-tychwood-witney,85-tychwood-witney,14 March 2020,207," Oak, sessile(Quercus petraea) ",51.777889,-1.469139,2020-03-14
85,1,/tiny-forest-sites/8-tiny-forest/85-tychwood-witney,https://tinyforest.earthwatch.org.uk//tiny-forest-sites/8-tiny-forest/85-tychwood-witney,85-tychwood-witney,14 March 2020,207," Willow, goat(Salix caprea)",51.777889,-1.469139,2020-03-14
86,2,/tiny-forest-sites/8-tiny-forest/86-foxwell-drive-oxford,https://tinyforest.earthwatch.org.uk//tiny-forest-sites/8-tiny-forest/86-foxwell-drive-oxford,86-foxwell-drive-oxford,28 January 2021,201,Alder(Alnus glutinosa) ,51.769139,-1.215472,2021-01-28
